id,name,latitude,longitude,neighborhood,room_type,price,availability_365,number_of_reviews,reviews_per_month,review_scores_rating
747246918141531203,"West Loop Oasis: Walk to Dining, Private Balcony",41.8764586,-87.6555539,Near West Side,Entire home/apt,362.0,353,45,1.35,4.8
747368338986412029,"Private, Cozy Bedroom in Rogers Park",42.0133054,-87.683784,West Ridge,Private room,36.0,326,54,1.55,4.76
747702333999717077,Remodeled Chicago Apartment < 9 Mi to Downtown,41.75028,-87.61221,Chatham,Entire home/apt,318.0,359,11,0.39,3.91
748624782439426360,Self check in near Downtown and Chinatown 9562,41.82903932146929,-87.65095326,Bridgeport,Private room,30.0,338,7,4.29,4.43
748671507545699034,"Unforgettable Stay: High End 2BR, Easy City Access",41.8764586,-87.6555539,Near West Side,Entire home/apt,386.0,356,66,1.89,4.83
748717713439890869,"West Loop Getaway: Balcony, Dining Steps, Quiet",41.8764586,-87.6555539,Near West Side,Entire home/apt,416.0,324,52,1.57,4.77
748752917418373635,"West Loop Charm: Dining & Nightlife, Balcony",41.8764586,-87.6555539,Near West Side,Entire home/apt,364.0,336,50,1.47,4.74
749405907882970935,Lakeside sunny bright 1 bed/1bath high-rise Luxury,41.97661,-87.65166,Edgewater,Entire home/apt,133.0,70,0,,
749449055071539252,Fully Furnished + 10 min walk from CTA,41.84981,-87.63591,Armour Square,Private room,44.0,348,105,3.3,4.43
750021824599680179,Full Cozy And Private Basement Floor.,41.96405,-87.66997,Uptown,Private room,115.0,121,57,1.63,4.96
750068938134941199,"Cozy Cool, NO WiFi, Great Locale",41.9355,-87.71956,Avondale,Entire home/apt,126.0,71,3,1.55,5.0
750635726221315406,Wrigleyville Oasis with Huge Garage,41.95155,-87.6558908,Lake View,Entire home/apt,309.0,297,59,1.83,4.95
751348457343283999,Boho in Bucktown,41.9184,-87.68058,Logan Square,Entire home/apt,134.0,97,16,0.92,4.94
751379612278165352,Cozy 2BR mins from United Center & Med district,41.88073,-87.69679,East Garfield Park,Entire home/apt,130.0,76,53,1.52,4.6
751408979157217444,Lovely Garden Studio in Chicago,41.81483,-87.61829,Grand Boulevard,Entire home/apt,141.0,40,126,3.62,4.99
751742096611773345,"Modern, Stylish Chicago Apt W/Free Parking",41.87377,-87.68878,Near West Side,Entire home/apt,180.0,365,1,0.2,5.0
751937736968700082,"Blueground | South Loop, nr L & grant park",41.8676695,-87.6261192,Loop,Entire home/apt,182.0,264,0,,
752378098361825648,"Glamorous Chinatown 3BR condo, by McCormick/DWTN",41.85362031990688,-87.63386699,Armour Square,Entire home/apt,201.0,331,69,2.2,4.81
752796561030096362,"Twin Lions Lodge: Patio, Parking & Speakeasy Bar*",41.91561,-87.67378,Logan Square,Entire home/apt,276.0,348,35,1.24,4.97
752845581184221318,Family Home in Chicago-O'Hare,41.95895,-87.8434,Ohare,Entire home/apt,270.0,343,41,1.28,4.98
753554370582467298,"Lovely, spacious 1 BR apartment (northern Chicago)",41.99944,-87.66194,Rogers Park,Entire home/apt,145.0,174,27,0.89,4.74
753572273135997260,Home away from home,41.74562215,-87.56981871,South Chicago,Private room,30.0,360,73,2.14,4.49
753717204722214062,California Cottage/4br prime location Logan Square,41.9295712,-87.6978854,Logan Square,Entire home/apt,176.0,249,111,3.18,4.84
753768081593665503,Central | BBQ Deck | Family-Friendly Pueblo Magíco,41.82418,-87.66777,Mckinley Park,Entire home/apt,197.0,357,100,2.9,4.64
754352717808596712,Lovely Apartment on Quaint Block in Andersonville,41.98153,-87.66191,Edgewater,Entire home/apt,182.0,317,90,2.62,4.97
